ISO28178
# Data formatted with IT8.7/4 patch set
ORIGINATOR	"Idealliance  E,G,J4,T"
CREATED	"December, 2016"
DESCRIPTOR	XCMYK - Expanded gamut reference characterization for high density offset printing
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	SampleID
NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SampleID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
138	70	20	10	0	21.074	26.462	45.133	58.473	-19.821	-35.157
139	70	30	10	0	18.994	22.421	40.873	54.471	-12.822	-36.742
140	70	40	10	0	17.375	19.095	36.773	50.798	-5.503	-37.594
141	70	55	10	0	15.196	14.86	31.164	45.442	5.244	-38.631
142	70	70	10	0	13.054	10.87	24.987	39.361	18.12	-38.853
143	70	85	10	0	10.896	7.417	18.318	32.738	31.659	-37.068
144	70	100	10	0	8.555	4.538	9.838	25.376	44.662	-27.095
145	85	0	10	0	17.106	26.265	50.446	58.288	-39.252	-41.659
146	85	10	10	0	15.616	22.725	46.423	54.788	-32.579	-43.054
147	85	20	10	0	14.263	19.701	42.593	51.498	-26.502	-44.056
148	85	30	10	0	13.01	16.985	38.931	48.241	-20.448	-44.935
149	85	40	10	0	11.885	14.567	35.53	45.035	-14.247	-45.79
150	85	55	10	0	10.368	11.378	30.304	40.21	-4.516	-46.309
151	85	70	10	0	8.859	8.388	24.828	34.778	6.748	-46.469
152	85	85	10	0	7.299	5.67	18.507	28.564	19.423	-44.678
153	85	100	10	0	5.491	3.287	10.806	21.157	32.212	-37.499
154	100	0	10	0	10.36	16.719	44.797	47.905	-37.748	-52.973
155	100	10	10	0	9.645	14.939	41.805	45.551	-33.204	-53.313
156	100	20	10	0	8.957	13.316	39.137	43.235	-28.879	-53.84
157	100	30	10	0	8.447	11.931	36.223	41.107	-24.088	-53.538
158	100	40	10	0	7.726	10.427	33.4	38.599	-19.785	-53.806
159	100	55	10	0	6.77	8.361	29.076	34.724	-12.362	-53.806
160	100	70	10	0	5.842	6.493	24.793	30.624	-4.579	-53.568
161	100	85	10	0	4.777	4.567	19.567	25.464	4.921	-52.302
162	100	100	10	0	3.412	2.574	12.197	18.25	16.521	-46.693
163	0	0	20	0	80.875	85.576	52.819	94.131	-3.162	17.52
164	0	10	20	0	73.403	73.297	48.22	88.589	5.731	13.12
165	0	20	20	0	67.094	62.981	44.011	83.433	14.486	9.243
166	0	30	20	0	61.294	53.662	39.387	78.265	23.607	6.225
167	0	40	20	0	56.155	45.783	35.007	73.405	32.188	3.868
168	0	55	20	0	49.25	35.548	28.438	66.173	45.488	1.458
169	0	70	20	0	43.25	27.302	22.268	59.253	58.378	0.505
170	0	85	20	0	37.468	20.311	15.629	52.187	70.958	2.706
171	0	100	20	0	31.45	14.968	8.451	45.59	78.706	12.618
172	10	0	20	0	69.745	76.45	51.738	90.068	-8.356	11.698
173	10	10	20	0	63.568	65.777	47.121	84.882	0.333	8.009
174	10	20	20	0	58.037	56.27	42.712	79.767	9.378	4.535
175	10	30	20	0	52.813	47.728	38.401	74.653	18.354	1.312
176	10	40	20	0	48.245	40.497	34.108	69.822	27.025	-1.011
177	10	55	20	0	42.436	31.59	27.961	63.003	39.8	-3.219
178	10	70	20	0	37.102	23.972	21.857	56.06	53.073	-4.2
179	10	85	20	0	32.107	17.715	15.41	49.149	65.749	-1.992
180	10	100	20	0	26.876	12.933	8.457	42.662	73.762	7.546
181	20	0	20	0	60.118	68.441	50.839	86.227	-13.48	6.073
182	20	10	20	0	54.626	58.662	46.199	81.105	-4.831	2.586
183	20	20	20	0	50.441	50.914	41.879	76.627	3.626	0.171
184	20	30	20	0	45.886	43.176	38.005	71.674	12.463	-3.289
185	20	40	20	0	41.619	36.281	33.58	66.734	21.26	-5.563
186	20	55	20	0	36.637	28.269	27.666	60.131	33.998	-7.679
187	20	70	20	0	31.937	21.226	21.703	53.196	47.689	-8.836
188	20	85	20	0	27.451	15.416	15.221	46.199	60.828	-6.61
189	20	100	20	0	22.987	11.222	8.694	39.952	68.859	2.007
190	30	0	20	0	51.144	60.749	50.092	82.244	-18.72	0.043
191	30	10	20	0	46.678	52.196	45.249	77.398	-9.976	-2.668
192	30	20	20	0	42.932	44.93	40.808	72.846	-1.152	-4.976
193	30	30	20	0	38.932	37.889	36.567	67.939	7.753	-7.755
194	30	40	20	0	36.002	32.788	33.403	63.989	15.264	-10.035
195	30	55	20	0	31.29	25.064	27.429	57.138	28.345	-12.442
196	30	70	20	0	27.227	18.737	21.555	50.378	41.916	-13.403
197	30	85	20	0	23.269	13.368	15.118	43.313	55.637	-11.325
198	30	100	20	0	19.541	9.633	8.748	37.176	64.49	-2.973
199	40	0	20	0	43.34	53.692	48.99	78.282	-23.375	-5.537
200	40	10	20	0	39.406	46.097	44.403	73.608	-15.189	-8.176
201	40	20	20	0	36.313	39.831	40.325	69.349	-6.806	-10.377
