Library|Pantone_Name|Hex|R|G|B|C|M|Y|K|L|a|b|Hex_Source|RGB_Source|CMYK_Source|Lab_Source
Pantone Formula Guide Uncoated|PANTONE 4246 U|#C7B99F|199|185|159|0.0|7.0|20.1|22.0|75.69|2.0|15.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4247 U|#CFB99F|207|185|159|0.0|10.6|23.2|18.8|76.47|5.0|16.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4248 U|#D9C3A5|217|195|165|0.0|10.1|24.0|14.9|80.0|5.0|18.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4249 U|#C3AA8E|195|170|142|0.0|12.8|27.2|23.5|71.37|6.0|18.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4250 U|#C2AF95|194|175|149|0.0|9.8|23.2|23.9|72.55|4.0|16.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4251 U|#B9A183|185|161|131|0.0|13.0|29.2|27.5|67.84|6.0|19.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4252 U|#B4A088|180|160|136|0.0|11.1|24.4|29.4|67.06|5.0|15.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 468 U|#E1CDAB|225|205|171|0.0|8.9|24.0|11.8|83.53|3.0|20.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 467 U|#D4B993|212|185|147|0.0|12.7|30.7|16.9|76.86|6.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 466 U|#C4A581|196|165|129|0.0|15.8|34.2|23.1|69.8|8.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 465 U|#B19370|177|147|112|0.0|16.9|36.7|30.6|63.14|8.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 464 U|#9D7C57|157|124|87|0.0|21.0|44.6|38.4|54.51|10.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 463 U|#866E53|134|110|83|0.0|17.9|38.1|47.5|48.24|7.0|19.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 462 U|#6F624D|111|98|77|0.0|11.7|30.6|56.5|42.35|3.0|14.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4253 U|#BBA592|187|165|146|0.0|11.8|21.9|26.7|69.41|6.0|13.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4254 U|#C7A586|199|165|134|0.0|17.1|32.7|22.0|70.2|10.0|21.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4255 U|#AB9780|171|151|128|0.0|11.7|25.1|32.9|63.92|5.0|15.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4256 U|#A38D79|163|141|121|0.0|13.5|25.8|36.1|60.39|6.0|14.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4257 U|#9B8781|155|135|129|0.0|12.9|16.8|39.2|58.04|7.0|6.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4258 U|#796F6E|121|111|110|0.0|8.3|9.1|52.5|47.84|4.0|2.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 4259 U|#5E5855|94|88|85|0.0|6.4|9.6|63.1|38.04|2.0|3.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 3599 U|#DABD81|218|189|129|0.0|13.3|40.8|14.5|78.04|5.0|34.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2467 U|#BD9B80|189|155|128|0.0|18.0|32.3|25.9|66.67|10.0|19.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2468 U|#A17F6F|161|127|111|0.0|21.1|31.1|36.9|56.08|12.0|14.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
