Library|Pantone_Name|Hex|R|G|B|C|M|Y|K|L|a|b|Hex_Source|RGB_Source|CMYK_Source|Lab_Source
Pantone CMYK Coated|PANTONE P 45-2 C|#EBA783|235|167|131|0.0|28.9|44.3|7.8|74.51|23.0|29.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-3 C|#E89673|232|150|115|0.0|35.3|50.4|9.0|70.2|29.0|32.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-4 C|#E68567|230|133|103|0.0|42.2|55.2|9.8|65.88|36.0|33.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-5 C|#E47857|228|120|87|0.0|47.4|61.8|10.6|62.75|41.0|38.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-6 C|#E16042|225|96|66|0.0|57.3|70.7|11.8|57.65|50.0|43.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-7 C|#DE4C36|222|76|54|0.0|65.8|75.7|12.9|53.73|57.0|45.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-8 C|#DE3E2F|222|62|47|0.0|72.1|78.8|12.9|51.76|62.0|47.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-9 C|#ECD0BF|236|208|191|0.0|11.9|19.1|7.5|85.49|8.0|12.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-10 C|#E7BFA5|231|191|165|0.0|17.3|28.6|9.4|80.39|12.0|19.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-11 C|#E2AB8C|226|171|140|0.0|24.3|38.1|11.4|74.51|18.0|24.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-12 C|#DB9372|219|147|114|0.0|32.9|47.9|14.1|67.84|25.0|29.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-13 C|#D47C5E|212|124|94|0.0|41.5|55.7|16.9|61.57|33.0|32.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-14 C|#D0664A|208|102|74|0.0|51.0|64.4|18.4|56.08|41.0|36.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-15 C|#C95037|201|80|55|0.0|60.2|72.6|21.2|50.59|48.0|40.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 45-16 C|#C43A2B|196|58|43|0.0|70.4|78.1|23.1|46.27|55.0|42.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-1 C|#E0B197|224|177|151|0.0|21.0|32.6|12.2|76.08|15.0|20.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-2 C|#D99F84|217|159|132|0.0|26.7|39.2|14.9|70.59|20.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-3 C|#D28C71|210|140|113|0.0|33.3|46.2|17.6|65.1|25.0|26.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-4 C|#CC7A61|204|122|97|0.0|40.2|52.5|20.0|60.0|31.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-5 C|#C66953|198|105|83|0.0|47.0|58.1|22.4|55.29|36.0|30.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-6 C|#BC5442|188|84|66|0.0|55.3|64.9|26.3|49.41|42.0|32.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-7 C|#B94533|185|69|51|0.0|62.7|72.4|27.5|45.88|47.0|36.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-8 C|#B3322A|179|50|42|0.0|72.1|76.5|29.8|41.96|52.0|37.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-9 C|#E7D3C8|231|211|200|0.0|8.7|13.4|9.4|85.88|6.0|8.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-10 C|#DEBAA7|222|186|167|0.0|16.2|24.8|12.9|78.43|11.0|15.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-11 C|#D3A388|211|163|136|0.0|22.7|35.5|17.3|70.98|16.0|21.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-12 C|#CA8B6F|202|139|111|0.0|31.2|45.0|20.8|63.92|22.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-13 C|#BD725D|189|114|93|0.0|39.7|50.8|25.9|56.08|29.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-14 C|#B45C49|180|92|73|0.0|48.9|59.4|29.4|49.8|35.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-15 C|#A84736|168|71|54|0.0|57.7|67.9|34.1|43.53|40.0|31.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 46-16 C|#9F2D26|159|45|38|0.0|71.7|76.1|37.6|37.25|47.0|33.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-1 C|#D4B5A0|212|181|160|0.0|14.6|24.5|16.9|76.08|9.0|15.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-2 C|#C89F87|200|159|135|0.0|20.5|32.5|21.6|69.02|13.0|19.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-3 C|#BD8B71|189|139|113|0.0|26.5|40.2|25.9|62.35|17.0|22.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-4 C|#B17861|177|120|97|0.0|32.2|45.2|30.6|56.08|21.0|22.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-5 C|#A96854|169|104|84|0.0|38.5|50.3|33.7|50.98|25.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-6 C|#9F5543|159|85|67|0.0|46.5|57.9|37.6|45.1|30.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-7 C|#924132|146|65|50|0.0|55.5|65.8|42.7|38.43|34.0|26.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-8 C|#832E27|131|46|39|0.0|64.9|70.2|48.6|32.16|37.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-9 C|#D9C2B4|217|194|180|0.0|10.6|17.1|14.9|80.0|7.0|10.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-10 C|#CCAB97|204|171|151|0.0|16.2|26.0|20.0|72.55|10.0|15.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-11 C|#BB937B|187|147|123|0.0|21.4|34.2|26.7|64.31|13.0|19.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-12 C|#AF7F67|175|127|103|0.0|27.4|41.1|31.4|57.65|17.0|21.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-13 C|#A36B55|163|107|85|0.0|34.4|47.9|36.1|50.98|21.0|22.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-14 C|#955743|149|87|67|0.0|41.6|55.0|41.6|43.92|25.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-15 C|#823D2C|130|61|44|0.0|53.1|66.2|49.0|34.9|29.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 47-16 C|#722A21|114|42|33|0.0|63.2|71.1|55.3|28.24|32.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-1 C|#F3DFD6|243|223|214|0.0|8.2|11.9|4.7|90.2|6.0|7.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-2 C|#F0CAB9|240|202|185|0.0|15.8|22.9|5.9|84.31|12.0|14.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-3 C|#EEB79E|238|183|158|0.0|23.1|33.6|6.7|79.22|18.0|21.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-4 C|#EBA083|235|160|131|0.0|31.9|44.3|7.8|72.94|26.0|27.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-5 C|#E7826C|231|130|108|0.0|43.7|53.2|9.4|65.49|38.0|30.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-6 C|#E26754|226|103|84|0.0|54.4|62.8|11.4|59.22|48.0|35.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-7 C|#DE443B|222|68|59|0.0|69.4|73.4|12.9|52.55|60.0|41.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-8 C|#DD2B2E|221|43|46|0.0|80.5|79.2|13.3|49.41|67.0|45.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-9 C|#E0A085|224|160|133|0.0|28.6|40.6|12.2|71.76|22.0|24.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-10 C|#DB8E73|219|142|115|0.0|35.2|47.5|14.1|66.67|28.0|27.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-11 C|#D88069|216|128|105|0.0|40.7|51.4|15.3|63.14|33.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-12 C|#D5735D|213|115|93|0.0|46.0|56.3|16.5|59.61|38.0|30.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-13 C|#D15F4D|209|95|77|0.0|54.5|63.2|18.0|54.9|45.0|33.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-14 C|#CD4D41|205|77|65|0.0|62.4|68.3|19.6|50.98|51.0|35.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-15 C|#C73836|199|56|54|0.0|71.9|72.9|22.0|46.67|57.0|36.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 48-16 C|#C52F2E|197|47|46|0.0|76.1|76.6|22.7|45.1|59.0|39.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-1 C|#DEAC90|222|172|144|0.0|22.5|35.1|12.9|74.51|16.0|22.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-2 C|#D89C7C|216|156|124|0.0|27.8|42.6|15.3|69.8|20.0|26.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-3 C|#D0886A|208|136|106|0.0|34.6|49.0|18.4|63.92|26.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-4 C|#CA765D|202|118|93|0.0|41.6|54.0|20.8|58.82|32.0|29.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-5 C|#C25D48|194|93|72|0.0|52.1|62.9|23.9|52.16|40.0|32.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-6 C|#BD4B36|189|75|54|0.0|60.3|71.4|25.9|47.84|46.0|37.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-7 C|#B7362C|183|54|44|0.0|70.5|76.0|28.2|43.14|52.0|37.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-8 C|#B32225|179|34|37|0.0|81.0|79.3|29.8|40.0|57.0|38.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-9 C|#D9AD8B|217|173|139|0.0|20.3|35.9|14.9|74.12|13.0|24.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-10 C|#CF9977|207|153|119|0.0|26.1|42.5|18.8|67.84|18.0|26.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-11 C|#C88663|200|134|99|0.0|33.0|50.5|21.6|62.35|23.0|30.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-12 C|#BF7152|191|113|82|0.0|40.8|57.1|25.1|56.08|29.0|31.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-13 C|#B65D3E|182|93|62|0.0|48.9|65.9|28.6|50.2|35.0|35.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-14 C|#AF4A2F|175|74|47|0.0|57.7|73.1|31.4|45.1|41.0|37.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-15 C|#A63426|166|52|38|0.0|68.7|77.1|34.9|39.61|47.0|36.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 49-16 C|#A02220|160|34|32|0.0|78.8|80.0|37.3|36.08|51.0|35.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-1 C|#D4AD8A|212|173|138|0.0|18.4|34.9|16.9|73.73|11.0|24.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-2 C|#CFA17C|207|161|124|0.0|22.2|40.1|18.8|69.8|14.0|26.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-3 C|#C28C68|194|140|104|0.0|27.8|46.4|23.9|63.14|18.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-4 C|#B9795C|185|121|92|0.0|34.6|50.3|27.5|57.25|23.0|27.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-5 C|#AF684D|175|104|77|0.0|40.6|56.0|31.4|51.76|27.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-6 C|#A5513E|165|81|62|0.0|50.9|62.4|35.3|45.1|34.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-7 C|#993C34|153|60|52|0.0|60.8|66.0|40.0|38.82|39.0|26.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-8 C|#8E252C|142|37|44|0.0|73.9|69.0|44.3|32.94|45.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-9 C|#D9BFA9|217|191|169|0.0|12.0|22.1|14.9|79.22|7.0|15.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-10 C|#CDAA89|205|170|137|0.0|17.1|33.2|19.6|72.16|10.0|22.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-11 C|#BF9375|191|147|117|0.0|23.0|38.7|25.1|64.71|14.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-12 C|#B78262|183|130|98|0.0|29.0|46.4|28.2|59.22|18.0|26.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-13 C|#A96C52|169|108|82|0.0|36.1|51.5|33.7|51.76|23.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-14 C|#9A5544|154|85|68|0.0|44.8|55.8|39.6|44.31|28.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-15 C|#883B33|136|59|51|0.0|56.6|62.5|46.7|35.69|33.0|22.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 50-16 C|#76232A|118|35|42|0.0|70.3|64.4|53.7|27.84|37.0|17.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-1 C|#EAE4E3|234|228|227|0.0|2.6|3.0|8.2|90.98|2.0|1.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-2 C|#DBCFCC|219|207|204|0.0|5.5|6.8|14.1|83.92|4.0|3.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-3 C|#D1BCB8|209|188|184|0.0|10.0|12.0|18.0|78.04|7.0|5.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-4 C|#C2A8A1|194|168|161|0.0|13.4|17.0|23.9|70.98|9.0|7.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-5 C|#B5948C|181|148|140|0.0|18.2|22.7|29.0|64.31|12.0|9.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-6 C|#AE817C|174|129|124|0.0|25.9|28.7|31.8|58.43|17.0|10.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-7 C|#A67473|166|116|115|0.0|30.1|30.7|34.9|54.12|20.0|9.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-8 C|#9E6666|158|102|102|0.0|35.4|35.4|38.0|49.41|23.0|10.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-9 C|#976566|151|101|102|0.0|33.1|32.5|40.8|48.24|21.0|8.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-10 C|#8F5D5E|143|93|94|0.0|35.0|34.3|43.9|45.1|21.0|8.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-11 C|#865759|134|87|89|0.0|35.1|33.6|47.5|42.35|20.0|7.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-12 C|#7D5257|125|82|87|0.0|34.4|30.4|51.0|40.0|19.0|5.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-13 C|#744C50|116|76|80|0.0|34.5|31.0|54.5|36.86|18.0|5.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-14 C|#694447|105|68|71|0.0|35.2|32.4|58.8|33.33|17.0|5.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-15 C|#5E3D41|94|61|65|0.0|35.1|30.9|63.1|29.8|15.0|4.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 51-16 C|#54383C|84|56|60|0.0|33.3|28.6|67.1|27.06|13.0|3.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-1 C|#F2D9D0|242|217|208|0.0|10.3|14.0|5.1|88.63|8.0|8.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-2 C|#F1CBBA|241|203|186|0.0|15.8|22.8|5.5|84.71|12.0|14.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-3 C|#EEB8A2|238|184|162|0.0|22.7|31.9|6.7|79.22|18.0|19.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-4 C|#EAA38C|234|163|140|0.0|30.3|40.2|8.2|73.73|25.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-5 C|#E68B79|230|139|121|0.0|39.6|47.4|9.8|67.45|34.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-6 C|#E37065|227|112|101|0.0|50.7|55.5|11.0|61.18|45.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-7 C|#DF4F4E|223|79|78|0.0|64.6|65.0|12.5|54.51|57.0|33.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-8 C|#DC2741|220|39|65|0.0|82.3|70.5|13.7|49.02|68.0|34.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-9 C|#E8BCAF|232|188|175|0.0|19.0|24.6|9.0|80.0|15.0|13.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-10 C|#E3AC99|227|172|153|0.0|24.2|32.6|11.0|75.29|19.0|18.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-11 C|#DF9A85|223|154|133|0.0|30.9|40.4|12.5|70.2|25.0|22.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-12 C|#DA8777|218|135|119|0.0|38.1|45.4|14.5|65.1|31.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-13 C|#D57266|213|114|102|0.0|46.5|52.1|16.5|59.61|39.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-14 C|#CF5A55|207|90|85|0.0|56.5|58.9|18.8|53.73|47.0|27.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-15 C|#CB4048|203|64|72|0.0|68.5|64.5|20.4|48.63|56.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 52-16 C|#C8243D|200|36|61|0.0|82.0|69.5|21.6|44.71|63.0|30.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 53-1 C|#E9C8BD|233|200|189|0.0|14.2|18.9|8.6|83.14|11.0|10.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 53-2 C|#E0B3A5|224|179|165|0.0|20.1|26.3|12.2|76.86|15.0|14.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 53-3 C|#D99E8B|217|158|139|0.0|27.2|35.9|14.9|70.59|21.0|19.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 53-4 C|#D38675|211|134|117|0.0|36.5|44.5|17.3|63.92|29.0|22.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 53-5 C|#CC7365|204|115|101|0.0|43.6|50.5|20.0|58.43|35.0|24.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 53-6 C|#C15551|193|85|81|0.0|56.0|58.0|24.3|50.59|44.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 53-7 C|#BB3941|187|57|65|0.0|69.5|65.2|26.7|44.71|53.0|27.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 53-8 C|#B62037|182|32|55|0.0|82.4|69.8|28.6|40.78|59.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 53-9 C|#E8D0CB|232|208|203|0.0|10.3|12.5|9.0|85.49|8.0|6.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 53-10 C|#E1BCAE|225|188|174|0.0|16.4|22.7|11.8|79.22|12.0|12.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone CMYK Coated|PANTONE P 53-11 C|#D8A595|216|165|149|0.0|23.6|31.0|15.3|72.16|18.0|16.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
